都市,交通圏,会社名,TEL
福井市,福井交通圏,福井交通㈱,0776-23-0108
福井市,福井交通圏,㈲福井相互タクシー,0776-53-5100
福井市,福井交通圏,"三福タクシー㈱
   福井営業所",0776-38-0329
福井市,福井交通圏,三栄タクシー㈲,0776-23-2534
福井市,福井交通圏,光タクシー㈲,0776-22-2288
福井市,福井交通圏,すいせんタクシー㈱,0776-26-3515
福井市,福井交通圏,福井バス㈱,0776-36-4600
福井市,福井交通圏,㈲日の丸タクシー,0776-26-0039
福井市,福井交通圏,アイネス観光㈱,0776-89-1135
福井市,福井交通圏,福井都タクシー㈱,0776-53-0771
福井市,福井交通圏,福井タクシー㈱,0776-52-0228
福井市,福井交通圏,㈱福福交通,0776-53-2210
福井市,福井交通圏,大バス日ノ出交通㈱,0776-35-8100
あわら市,福井交通圏,ケイカン交通㈱,0776-78-6234
あわら市,福井交通圏,㈲温泉タクシー,0776-77-2341
あわら市,福井交通圏,㈲高橋タクシー,0776-77-2861
あわら市,福井交通圏,あわら観光㈱,0776-73-3333
あわら市,福井交通圏,㈱金津相互タクシー,0776-73-0555
あわら市,福井交通圏,都タクシー㈱,0776-77-2488
鯖江市,福井交通圏,鯖江タクシー㈱,0778-51-2822
鯖江市,福井交通圏,相互タクシー㈱,0778-51-0238
吉田郡永平寺町,福井交通圏,永平寺観光㈱,0776-52-0555
吉田郡永平寺町,福井交通圏,松岡交通㈱,0776-61-0580
丹生郡越前町,福井交通圏,朝日自動車㈱,0778-34-0037
越前市,武生交通圏,"福鉄商事㈱
　　武生ﾀｸｼｰ事業部",0778-24-0383
越前市,武生交通圏,小松タクシー㈲,0778-22-18117
越前市,武生交通圏,白山交通㈱,0778-21-2500
越前市,武生交通圏,ヤマトタクシー㈱,0778-42-0860
今立郡池田町,武生交通圏,池田観光㈱,0778-44-6660
南条郡南越前町,武生交通圏,㈲今庄タクシー,0778-45-0038
敦賀市,敦賀交通圏,敦賀海陸運輸㈱,0770-22-3123
敦賀市,敦賀交通圏,敦賀タクシー㈱,0770-22-1414
敦賀市,敦賀交通圏,敦賀第一交通㈱,0770-22-3371
敦賀市,敦賀交通圏,㈱ｻﾝｷｭｰ･ﾀｸｼｰ,0770-23-0039
三方郡美浜町,敦賀交通圏,美浜自動車㈱,0770-32-1132
三方郡美浜町,敦賀交通圏,㈲オオギ観光タクシー,0770-32-6363
勝山市,勝山･大野地区,勝山交通㈱,0779-88-0251
勝山市,勝山･大野地区,大福交通㈲,0779-88-1331
大野市,勝山･大野地区,大野旅客自動車㈲,0779-66-2225
大野市,勝山･大野地区,大喜自動車㈱,0779-66-2980
大野市,勝山･大野地区,いずみタクシー㈱,0779-78-2022
小浜市,小浜･高浜･大飯地区,大和交通㈱,0770-56-3333
小浜市,小浜･高浜･大飯地区,三福タクシー㈱,0770-52-1414
大飯郡高浜町,小浜･高浜･大飯地区,高浜交通㈱,0770-72-0765
大飯郡おおい町,小浜･高浜･大飯地区,ワカサ交通㈱,0770-77-0111
